ts_code,name,fullname,enname,cn_spell,market,list_status,list_date,delist_date,trade_unit,isin,curr_type
02925.HK,亨泰股权,亨泰股权,,HTGQ,主板,D,20161219,20161228,5000.0,KYG440351222,HKD
02925AE.HK,亚洲资源(旧),亚洲资源(旧),,YZZYJ,主板,D,20030408,20030519,200.0,,HKD
02925AF.HK,合一投资,合一投资,,HYTZ,主板,D,20120820,20120921,2500.0,,HKD
02925AG.HK,威高國際(舊),威高國際(舊),,WGGJJ,主板,D,20000921,20001030,20000.0,,HKD
02925AH.HK,WANG ON GROUP,WANG ON GROUP,,WANGONGROU,主板,D,20070518,20070626,40000.0,,HKD
02925AI.HK,中国投融资,中国投融资,,ZGTRZ,主板,D,20151214,20160119,1600.0,,HKD
02925AJ.HK,中天国际,中天国际,,ZTGJ,主板,D,20090715,20090818,1000.0,,HKD
02925AK.HK,金蝶国际,金蝶国际,,JDGJ,主板,D,20080509,20080617,2000.0,,HKD
02925AL.HK,HYPEBEAST-20K,HYPEBEAST-20K,,HYPEBEAST2,主板,D,20190411,20190506,20000.0,,HKD
02926.HK,宝福集团,宝福集团,,BFJT,主板,D,20040702,20040806,10000.0,,HKD
02926.HK,铭源医疗,铭源医疗,,MYYL,主板,D,20030403,20030514,10000.0,,HKD
02926.HK,威利国际,威利国际,,WLGJ,主板,D,20120821,20120924,2000.0,,HKD
02926.HK,泛海酒店,泛海酒店,,FHJD,主板,D,20000927,20001103,10000.0,,HKD
02926AE.HK,中国星集团,中国星集团,,ZGXJT,主板,D,20080509,20080617,500.0,,HKD
02926AF.HK,冠华国际控股股权,冠华国际控股股权,,GHGJKGGQ,主板,D,20161214,20161221,2000.0,,HKD
02926AG.HK,奥亮集团,奥亮集团,,ALJT,主板,D,20051213,20060120,100.0,,HKD
02926AH.HK,豊采多媒体,豊采多媒体,,LCDMT,主板,D,20070521,20070627,1000.0,,HKD
02926AI.HK,奥立仕（万二）,奥立仕（万二）,,ALSWE,主板,D,20180201,20180223,12000.0,,HKD
02926AJ.HK,21控股,21控股,,21KG,主板,D,20110622,20110727,1000.0,,HKD
02926AK.HK,中国新经济投资股权,中国新经济投资股权,,ZGXJJTZGQ,主板,D,20151218,20160104,100000.0,,HKD
02927.HK,北方矿业,北方矿业,,BFKY,主板,D,20090616,20090715,10000.0,,HKD
02927.HK,中国农产品交易,中国农产品交易,,ZGNCPJY,主板,D,20151222,20160127,1000.0,,HKD
